"","X","user","time","error","qType","interfaceType","ans","correct","age","sex","degree","monitor","computer","expert","expertProgressive","presentationOrder","corr1","corr5","corr10","corr20"
"75",74,"jt4rxs3f",34497,0,2,"B","C","C","25-39","Male","High School","23 or larger","31-40","novice","novice","[u'B', u'A']",1,1,1,1
"76",75,"jt4rxs3f",21872,0.11,0,"A","70000","78615","25-39","Male","High School","23 or larger","31-40","novice","novice","[u'B', u'A']",0,0,0,1
"77",76,"jt4rxs3f",32859,0.04,1,"A","135000","140859","25-39","Male","High School","23 or larger","31-40","novice","novice","[u'B', u'A']",0,1,1,1
"78",77,"jt4rxs3f",46364,0,2,"A","B","B","25-39","Male","High School","23 or larger","31-40","novice","novice","[u'B', u'A']",1,1,1,1
"79",78,"jt4serce",16821,0.05,0,"B","62000","58878","25-39","Female","Masters","15","gt60","novice","novice","[u'B', u'A']",0,1,1,1
"80",79,"jt4serce",28285,0.03,1,"B","160000","164565","25-39","Female","Masters","15","gt60","novice","novice","[u'B', u'A']",0,1,1,1
"81",80,"jt4serce",12053,1,2,"B","d","C","25-39","Female","Masters","15","gt60","novice","novice","[u'B', u'A']",0,0,0,0
"82",81,"jt4serce",9416,0.24,0,"A","60000","78615","25-39","Female","Masters","15","gt60","novice","novice","[u'B', u'A']",0,0,0,0
"83",82,"jt4serce",20508,0.01,1,"A","140000","140859","25-39","Female","Masters","15","gt60","novice","novice","[u'B', u'A']",1,1,1,1
"84",83,"jt4serce",7417,0,2,"A","b","B","25-39","Female","Masters","15","gt60","novice","novice","[u'B', u'A']",1,1,1,1
"85",84,"jt4sgoco",38462,0,0,"A","59000","58878","25-39","Other","Other","15","41-50","low-intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"86",85,"jt4sgoco",43119,0.03,1,"A","160000","164565","25-39","Other","Other","15","41-50","low-intermediate","low-intermediate","[u'A', u'B']",0,1,1,1
"87",86,"jt4sgoco",51279,0,2,"A","C","C","25-39","Other","Other","15","41-50","low-intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"88",87,"jt4sgoco",33358,0.08,0,"B","72000","78615","25-39","Other","Other","15","41-50","low-intermediate","low-intermediate","[u'A', u'B']",0,0,1,1
